COWNum;COWID;StateName;OtherName;ISD_Category;Region;Start;Start_Am;EStart;EStart_Am;Declare;DecDate;Population;PopDate;PopAm;PopulationHigh;PopulationLow;StartType;StartType_Am;StartSettle;End;End_Am;EndType;EndType_Am;EndSettle;Sovereignty_Am;EuroDip;Borders;Borders_Am;Latitude;Longitude;VioStart;VioStart_Am;VioEnd;VioEnd_Am
580;MAG;Madagascar;-9;1;1;26-6-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
5203;MTJ;Majeerteen Sultanate;Migiurtinia Majerteen Majertain Majerteyn Harti, Alula (Mijerteyn);3;1;01-01-1816;0;1800;1;0;-9;-9;-9;1;-9;-9;6;0;-9;31-12-1889;0;1;0;1;0;1;0;0;11 58 0 N;50 45 0 E;0;1;0;0
553;MAW;Malawi;-9;1;1;6-7-1964;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
432;MLI;Mali;-9;1;1;20-6-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
4765;MDR;Mandara;Wandala;3;1;01-01-1816;0;1500;1;0;-9;-9;2018;1;84000;-9;1;1;0;31-12-1902;0;1;0;0;1;0;0;1;11 3 0 N;14 9 0 E;1;0;1;0
4393;MDK;Mandinka Empire;The Wassoulou (Wasulu, Wassulu, Wassalou or Oussalou) Empire;2;1;01-01-1878;1;-9;-9;0;-9;1500000;1887;0;1500000;100000;2;1;0;25-03-1887;1;1;0;1;0;1;0;1;9 55 59.3 N;9 09 22.9 W;1;0;1;0
4909;MNG;Mangbetu Kingdom;-9;3;1;01-01-1816;0;1815;1;0;-9;100000;1921;0;112000;-9;1;0;0;31-12-1873;0;4;0;0;0;1;0;1;2 26 34.9 N;28 21 23.2 E;1;0;1;0
4326;MAS;Massina;The Messina Empire, Hamdallahi Caliphate, Macina;2;1;01-01-1816;1;1810;1;0;-9;4000000;1810;0;4500000;10000;2;0;0;31-12-1862;0;2;0;0;0;1;0;1;14 27 32.2 N;4 54 59.8 W;1;0;1;0
435;MAA;Mauritania;-9;1;1;28-11-1960;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
590;MAS;Mauritius;-9;1;1;12-3-1968;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;31-12-2016;0;-9;-9;-9;0;-9;-9;-9;-9;-9;-9;-9;-9;-9
