gid,year,barren_ih,bdist3,capdist,excluded,forest_ih,gwno,water_ih
"180135","2010","0","334.5779","3181.118","1","0","2","0"
"180136","2010","0","361.774","3137.838","1","20.51","2","0"
"180137","2010","0","383.0226","3094.545","1","51.89","2","0"
"180138","2010","0","399.2043","3051.24","1","0","2","0"
"180139","2010","0","415.5205","3007.924","1","0","2","0"
"180140","2010","0","428.6992","2964.597","1","0","2","0"
"180141","2010","0","410.2838","2921.261","1","0","2","0"
"180142","2010","0","396.4779","2877.916","1","0","2","0"
"180143","2010","0","387.7744","2834.563","1","0","2","0"
"180144","2010","0","384.5035","2791.203","1","4.05","2","0"
"180145","2010","0","384.4532","2747.837","1","3.98","2","0"
"180146","2010","0","384.4411","2704.467","1","0","2","0"
"180147","2010","0","384.4599","2661.094","1","0","2","0"
"180148","2010","0","385.5821","2617.718","1","7.2","2","0"
"180149","2010","0","391.425","2574.341","0","0","2","0"
"180150","2010","0","402.5372","2530.964","0","2.01","2","0"
"180151","2010","0","417.4749","2487.589","0","0","2","0"
"180152","2010","0","436.6267","2444.216","0","0","2","1.45"
"180153","2010","0","459.6889","2400.848","0","0","2","0"
"180154","2010","0","486.1046","2357.486","0","0","2","0"
"180155","2010","0","515.358","2314.132","0","0","2","0"
"180156","2010","0","546.9934","2270.787","0","0","2","0"
"180157","2010","0","580.6207","2227.453","0","0","2","0"
"180158","2010","0","602.7665","2184.133","0","0","2","0"
"180159","2010","0","610.5075","2140.827","0","0","2","0"
"180160","2010","0","617.0061","2097.54","0","0","2","0"
"180161","2010","0","626.9614","2054.272","0","0","2","0"
"180162","2010","0","640.2119","2011.027","1","0","2","0"
"180163","2010","0","656.558","1967.808","1","0","2","0"
"180164","2010","0","675.7746","1924.617","1","0","2","1.03"
"180165","2010","0","663.751","1881.457","1","0","2","0"
"180166","2010","0","647.3389","1838.333","1","0","2","2.06"
"180167","2010","0","633.9864","1795.248","1","0","2","0"
"180168","2010","0","622.0441","1752.206","1","0","2","0"
"180169","2010","0","610.391","1709.211","1","0","2","12.97"
"180170","2010","0","598.4012","1666.27","1","9.31","2","3.96"
"180171","2010","0","589.6784","1623.386","1","12.41","2","6.43"
"180172","2010","0","584.3818","1580.567","1","9.64","2","2.38"
"180173","2010","0","582.7975","1537.818","0","41.71","2","2.16"
"180174","2010","0","584.9793","1495.148","0","44.16","2","4.87"
"180175","2010","0","589.2332","1452.564","0","43.26","2","2.21"
"180176","2010","0","571.9928","1410.075","0","29.63","2","1.21"
"180177","2010","0","558.152","1367.692","0","23.63","2","0"
"180178","2010","0","547.9688","1325.426","0","16.26","2","1.28"
"180179","2010","0","541.6498","1283.29","0","15.06","2","0"
"180180","2010","0","539.2599","1241.297","0","5.02","2","4.67"
"180181","2010","0","529.7398","1199.466","0","1.39","2","0"
"180182","2010","0","517.4069","1157.813","0","31.59","2","0"
"180183","2010","0","509.0767","1116.361","0","53.75","2","0"
"180184","2010","0","504.9477","1075.135","0","43.07","2","2.6"
"180185","2010","0","505.1229","1034.161","0","70.53","2","0"
"180186","2010","0","509.598","993.4725","0","40.41","2","0"
"180187","2010","0","518.2614","953.1077","0","45.27","2","0"
"180188","2010","0","527.2501","913.1104","0","41.99","2","2.52"
"180189","2010","0","529.4026","873.5322","0","67.79","2","1"
