gid,year,excluded,gcp_mer,gwno,pop_gpw_sum,urban_ih
"74377","2014",,,"155",,
"74378","2014",,,"155",,
"74379","2014",,,"160",,
"74380","2014",,,"160",,
"74381","2014",,,"160",,
"74382","2014",,,"160",,
"74383","2014",,,"160",,
"74384","2014",,,"160",,
"74385","2014",,,"160",,
"74386","2014",,,"160",,
"74387","2014",,,"160",,
"74388","2014",,,"160",,
"74389","2014",,,"160",,
"74390","2014",,,"160",,
"74391","2014",,,"160",,
"74392","2014",,,"160",,
"74393","2014",,,"160",,
"74394","2014",,,"160",,
"74395","2014",,,"160",,
"74396","2014",,,"160",,
"74397","2014",,,"160",,
"74398","2014",,,"160",,
"74399","2014",,,"160",,
"74400","2014",,,"160",,
"74401","2014",,,"160",,
"74402","2014",,,"160",,
"74403","2014",,,"160",,
"74404","2014",,,"160",,
"74405","2014",,,"160",,
"74802","2014",,,"900",,
"74803","2014",,,"900",,
"74804","2014",,,"900",,
"74805","2014",,,"900",,
"74806","2014",,,"900",,
"74807","2014",,,"900",,
"74808","2014",,,"900",,
"74809","2014",,,"900",,
"74810","2014",,,"900",,
"74811","2014",,,"900",,
"74812","2014",,,"900",,
"74813","2014",,,"900",,
"74814","2014",,,"900",,
"74815","2014",,,"900",,
"74816","2014",,,"900",,
"74870","2014",,,"920",,
"74871","2014",,,"920",,
"74872","2014",,,"920",,
"74873","2014",,,"920",,
"74874","2014",,,"920",,
"74875","2014",,,"920",,
"74876","2014",,,"920",,
"74877","2014",,,"920",,
"75093","2014",,,"155",,
"75094","2014",,,"155",,
"75095","2014",,,"155",,
"75096","2014",,,"155",,
"75097","2014",,,"155",,
"75098","2014",,,"155",,
"75099","2014",,,"160",,
"75100","2014",,,"160",,
"75101","2014",,,"160",,
"75102","2014",,,"160",,
"75103","2014",,,"160",,
"75104","2014",,,"160",,
"75105","2014",,,"160",,
"75106","2014",,,"160",,
"75107","2014",,,"160",,
"75108","2014",,,"160",,
"75109","2014",,,"160",,
"75110","2014",,,"160",,
"75111","2014",,,"160",,
"75112","2014",,,"160",,
"75113","2014",,,"160",,
"75114","2014",,,"160",,
"75115","2014",,,"160",,
"75116","2014",,,"160",,
"75117","2014",,,"160",,
"75118","2014",,,"160",,
"75119","2014",,,"160",,
"75120","2014",,,"160",,
"75121","2014",,,"160",,
"75122","2014",,,"160",,
"75123","2014",,,"160",,
"75124","2014",,,"160",,
"75125","2014",,,"160",,
"75126","2014",,,"160",,
"75521","2014",,,"900",,
"75522","2014",,,"900",,
"75523","2014",,,"900",,
"75524","2014",,,"900",,
"75525","2014",,,"900",,
"75526","2014",,,"900",,
"75527","2014",,,"900",,
"75528","2014",,,"900",,
"75529","2014",,,"900",,
"75530","2014",,,"900",,
"75531","2014",,,"900",,
"75532","2014",,,"900",,
"75533","2014",,,"900",,
"75534","2014",,,"900",,
"75535","2014",,,"900",,
"75536","2014",,,"900",,
"75537","2014",,,"900",,
"75538","2014",,,"900",,
"75539","2014",,,"900",,
"75540","2014",,,"900",,
"75590","2014",,,"920",,
"75591","2014",,,"920",,
"75592","2014",,,"920",,
"75593","2014",,,"920",,
"75594","2014",,,"920",,
"75595","2014",,,"920",,
"75596","2014",,,"920",,
"75597","2014",,,"920",,
"75598","2014",,,"920",,
"75813","2014",,,"155",,
"75814","2014",,,"155",,
"75815","2014",,,"155",,
"75816","2014",,,"155",,
"75817","2014",,,"155",,
